iter	Logloss
868	0.08384581499
869	0.08380000536
870	0.08360006643
871	0.08351418584
872	0.08338866677
873	0.08326845391
874	0.0831694603
875	0.08307028371
876	0.08296688213
877	0.08282158541
878	0.08269629922
879	0.0825732087
880	0.08245865134
881	0.08241692809
882	0.08229739167
883	0.0822371993
884	0.08216114377
885	0.08203975544
886	0.08198904437
887	0.08193465166
888	0.08181787092
889	0.08172570827
890	0.08162973093
891	0.08154740999
892	0.08145723232
893	0.0813301774
894	0.08124799507
895	0.08113657042
896	0.08102155286
897	0.08089091057
898	0.08081822617
899	0.08066908149
900	0.08060144824
901	0.08051755816
902	0.08038727073
903	0.08023074616
904	0.08010443421
905	0.08000490832
906	0.07993917687
907	0.07987709933
908	0.07973400382
909	0.0796325983
910	0.07946632629
911	0.07930223332
912	0.07919272157
913	0.07908737382
914	0.07904076022
915	0.07896014147
916	0.07886108132
917	0.07869089481
918	0.07862348335
919	0.07852847077
920	0.07844226305
921	0.07832990136
922	0.0782097384
923	0.07806778509
924	0.0780130098
925	0.07790640898
926	0.07780927836
927	0.07767970063
928	0.0775970082
929	0.07746121495
930	0.07736090727
931	0.077300604
932	0.07721923673
933	0.07709518699
934	0.07699958114
935	0.0769297744
936	0.0768545672
937	0.07670650926
938	0.07655174788
939	0.07647295885
940	0.07634323142
941	0.07625089135
942	0.07614091385
943	0.07608001177
944	0.07597874486
945	0.07587545972
946	0.07579097082
947	0.07572985804
948	0.07560953983
949	0.07547046972
950	0.07534820534
951	0.07524733211
952	0.07519508517
953	0.07512580517
954	0.07502047406
955	0.07494129137
956	0.07481544517
957	0.074696624
958	0.07455706042
959	0.07444650628
960	0.07430033351
961	0.07422433898
962	0.07412715291
963	0.07404863003
964	0.07398610891
965	0.07389923584
966	0.0738153624
967	0.07370511876
968	0.07359394916
969	0.07351884731
970	0.07338604262
971	0.07329245501
972	0.07322181657
973	0.07313610232
974	0.07303369322
975	0.07293553685
976	0.07288115524
977	0.0728017064
978	0.07267593783
979	0.07256446883
980	0.07244564766
981	0.07232114881
982	0.07220354746
983	0.07213706748
984	0.07203012289
985	0.07192194185
986	0.0718271566
987	0.07178109191
988	0.07175782669
989	0.07166635158
990	0.07153547642
991	0.07147056003
992	0.07133240478
993	0.07122348076
994	0.07117267542
995	0.07107328814
996	0.07096132567
997	0.07084227717
998	0.07074342772
999	0.0706504223
